"cost_drugs","cost_items","cost_total","count_deaths",".n_indiv","rrr_pxlvd","rrr_rmsvr","cost_A_pxlvd_drugs","prob_AH_pxlvd","prob_AH_syntc",".strategy_names",".index",".cost",".effect"
13661562.88257,41486638.610955,55148201.493525,3155.70351645262,303531,0.890348733861105,0.759642230515005,128.966355024908,0.007,0.059,"strategy",1,55148201.493525,3155.70351645262
14149617.2918708,50679210.893053,64828828.1849238,0,303531,0.82091393125207,1.05231844155007,114.93809950581,0.006,0.062,"strategy",2,64828828.1849238,0
14990286.7745897,47187706.6898442,62177993.4644339,2614.21091332889,303531,0.820928815513103,0.847386391738982,102.106070371883,0.005,0.068,"strategy",3,62177993.4644339,2614.21091332889
13504697.1044679,39838948.5937977,53343645.6982656,3667.47453368207,303531,0.881919552335305,0.682812776817475,102.391237782713,0.004,0.058,"strategy",4,53343645.6982656,3667.47453368207
15557737.5805778,49062921.7145125,64620659.2950902,2628.89899667185,303531,0.821462648545127,0.855632882222996,111.238936541375,0.005,0.072,"strategy",5,64620659.2950902,2628.89899667185
15848618.0179499,52200204.8330474,68048822.8509973,1725.11628793114,303531,0.820236082095659,0.918649060366759,104.601413560181,0.007,0.074,"strategy",6,68048822.8509973,1725.11628793114
12901251.1103155,39393849.368955,52295100.4792705,2957.03494521854,303531,0.893320461258046,0.756685021584467,100.079799646128,0.009,0.054,"strategy",7,52295100.4792705,2957.03494521854
14586508.5546532,51440563.6972878,66027072.251941,289.870892064349,303531,0.863836441875622,0.98719000245584,110.842226500787,0.007,0.065,"strategy",8,66027072.251941,289.870892064349
15411570.116656,47561799.4107653,62973369.5274214,3061.77947643883,303531,0.93007179000657,0.817626970353063,112.139523453423,0.008,0.071,"strategy",9,62973369.5274214,3061.77947643883
16545500.7953257,56609568.9514379,73155069.7467636,881.58738644168,303531,0.854726221285537,0.964587770464023,121.414462576974,0.006,0.079,"strategy",10,73155069.7467636,881.58738644168
14543363.1746927,43196295.5351511,57739658.7098438,3708.53846623008,303531,1.00734694866813,0.724385702188112,101.532239130063,0.009,0.065,"strategy",11,57739658.7098438,3708.53846623008
