"S","R","D","A","H","I"
0,3508755,0,2161842,41248,0
0,4205265,1040,1400466,95178,9895
0,4700367,3266,908928,58722,40562
0,5028353,7985,591025,36845,47636
0,5246133,13147,385044,23208,44312
0,5390855,17829,251332,14639,37190
0,5487080,21707,164369,9243,29445
0,5551092,24754,107703,5842,22455
0,5593696,27064,70707,3695,16683
0,5622067,28774,46507,2340,12158
0,5640969,30016,30647,1483,8731
0,5653569,30905,20233,941,6198
0,5661973,31535,13382,597,4358
0,5667581,31977,8866,380,3042
0,5671325,32285,5884,242,2109
0,5673827,32498,3912,154,1454
0,5675499,32645,2605,98,998
0,5676617,32745,1737,63,683
0,5677365,32814,1160,40,465
0,5677866,32861,776,26,316
0,5678202,32893,520,17,214
0,5678427,32914,348,11,145
0,5678578,32929,234,7,98
0,5678679,32938,157,4,66
0,5678747,32945,106,3,44
0,5678793,32949,71,2,30
0,5678824,32952,48,1,20
0,5678844,32954,32,1,13
