"S","R","D","A","H","I"
0,3508755,0,2161842,41248,0
0,4205669,1029,1475691,21020,8435
0,4678913,2560,1007345,13570,9457
0,5002416,3749,687657,9132,8891
0,5223791,4719,469435,6195,7705
0,5375304,5504,320470,4211,6356
0,5479003,6124,218781,2866,5072
0,5549975,6607,149361,1951,3951
0,5598547,6975,101970,1329,3024
0,5631788,7253,69617,906,2282
0,5654536,7460,47529,618,1703
0,5670102,7613,32450,421,1259
0,5680753,7726,22155,287,924
0,5688041,7808,15126,196,674
0,5693028,7867,10328,134,489
0,5696440,7910,7051,91,353
0,5698774,7941,4814,62,254
0,5700371,7963,3287,42,182
0,5701463,7979,2244,29,130
0,5702210,7990,1532,20,92
0,5702721,7998,1046,13,66
0,5703071,8004,714,9,46
0,5703310,8008,488,6,33
0,5703474,8011,333,4,23
0,5703586,8013,227,3,16
0,5703662,8014,155,2,11
0,5703714,8015,106,1,8
0,5703750,8016,72,1,6
