"S","R","D","A","H","I"
0,281.00000188,0,137.00000068,135.99999744,0
0,390.783435770089,3.58437630875857,86.03600042704,45.7841880176322,27.81199947648
0,450.405998662424,16.6957658982076,54.0306082681811,17.108000841991,15.7596263291962
0,481.454183538978,24.0445463333908,33.9312219924177,7.44674790731073,7.12330022790229
0,498.294264182281,27.4852058737736,21.3088074112383,3.75050353324466,3.16121899946257
0,507.925963712516,29.1213394924612,13.3819310542577,2.07670739834049,1.49405834242492
0,513.655033840451,29.9647967280905,8.40385270207382,1.20799664766663,0.768320081718362
0,517.142406635963,30.4391903219937,5.27761949690236,0.717034611898238,0.423748933243049
0,519.290153305172,30.7200946066276,3.31434504405468,0.431311211366394,0.244095832779091
0,520.621393956133,30.8916429184022,2.08140868766634,0.261209253534298,0.144345184263618
0,521.449324338776,30.9973170690384,1.30712465585446,0.159617251603123,0.0866166847283962
0,521.965583989867,31.0638584031742,0.820874283876602,0.0971197576415653,0.0525635654403698
0,522.287573128906,31.1055014381982,0.515474885300511,0.0594999371067145,0.0319506104889852
0,522.48864166589,31.1316534368755,0.323696773787006,0.0364917458971148,0.0195163775507897
0,522.61427037813,31.1479883462455,0.203268101605051,0.022521845146544,0.0119513288726416
0,522.692852707474,31.1582650739984,0.127643907743451,0.0138837878113704,0.00735452297317582
0,522.742015297136,31.1647287823395,0.0801550614944777,0.00857008413848742,0.00453077489125569
0,522.772781530859,31.1687710442022,0.0503340425466812,0.0053187219609134,0.00279466043130949
0,522.792051619031,31.1713039129491,0.0316076838050415,0.00330633367485116,0.00173045054020797
0,522.804126743275,31.1728893437036,0.0198483099105927,0.00206145425056412,0.0010741488607549
0,522.811697474768,31.173885126651,0.0124639125326891,0.00128486441626443,0.000668621632213988
0,522.816444623519,31.1745120339753,0.00782681831966041,0.000799986437119238,0.000416537748535292
0,522.819421010835,31.1749073856365,0.00491491615079195,0.000497286469679587,0.000259400908554001
0,522.821286745975,31.1751557145567,0.0030863627827717,0.000309819393886776,0.000161357292016896
0,522.82245656628,31.1753115979968,0.00193810737246115,0.000193258107890283,0.000100470243213732
0,522.823190206989,31.1754092247914,0.0012170507654369,0.000120888014804794,6.26294390027211e-05
0,522.823650499351,31.1754706186789,0.000764257226765302,7.54983734570288e-05,3.91263699982062e-05
0,522.823939263899,31.1755089919412,0.000479921729849381,4.73839480594487e-05,2.44384824715498e-05
