"model_time","cost_drugs","cost_items","cost_total","count_drugs"
1,61004.2188239306,525349.231009382,586353.449833313,533.99999786
2,111544.002954028,178336.644624988,289880.647579016,364.18799854052
3,36706.1380921503,71761.1915770016,108467.329669152,248.376215004635
4,19809.2994649631,38383.6184428078,58192.9179077709,169.392578633161
5,12820.556986558,22463.4257401182,35283.9827266762,115.525738627816
6,935.811525311133,13463.0003141918,14398.811839503,78.7885537441703
7,621.410329651295,8133.41475939142,8754.82508904272,53.7337936535241
8,418.839781591822,4937.10345516445,5355.94323675627,36.6464472717034
9,283.310097206206,3009.94722848813,3293.25732569433,24.9928770393017
10,191.907612916638,1843.16605566782,2035.07366858445,17.0451421408038
11,130.072836429727,1134.03110337018,1264.10393979991,11.6247869400282
12,88.243688606988,701.186591580568,789.430280187556,7.92810469309922
13,59.894256612535,435.793282923728,495.687539536263,5.40696740069367
14,40.6758243995052,272.313278378917,312.989102778422,3.68755176727308
15,27.6410220368776,171.097394710581,198.738416747459,2.51491030528024
16,18.7906381568324,108.091387212681,126.882025369513,1.71516882820112
17,12.7765556270099,68.6684965080525,81.4450521350623,1.16973154873933
18,8.69177821712099,43.8667297592178,52.5585079763388,0.797747646539937
19,5.9149565030617,28.1769136057028,34.0918701087645,0.544057573078102
20,4.02678450661974,18.1943110711192,22.2210955777389,0.371042953379388
21,2.74178595094796,11.8081386056068,14.5499245565548,0.253048353823273
22,1.86733885393017,7.70029809675102,9.56763695068119,0.172576971990611
23,1.27192804361084,5.04431020329934,6.31623824691018,0.117696127287389
24,0.866538437377861,3.31846861048015,4.18500704785801,0.0802678261106753
25,0.590437450860898,2.19164866117323,2.78208611203413,0.0547420213139329
26,0.402351321151809,1.45258854650895,1.85493986766076,0.0373336247253436
27,0.274192506516864,0.965930231055357,1.24012273757222,0.0254612362071847
28,0.186886733878928,0.644243070818708,0.831129804697636,0.0173643613221938
