"model_time","cost_drugs","cost_items","cost_total","count_drugs"
1,2549.12902365336,60677.2270512615,63226.3560749149,0
2,6008.5384539851,25316.5314930791,31325.0699470642,0
3,3881.14804260697,17179.0196000124,21060.1676426194,0
4,2440.61725920741,11040.2130969477,13480.8303561551,0
5,1525.74880089177,6934.66560631715,8460.41440720892,0
6,945.373675409672,4337.9815548215,5283.35523023117,0
7,592.23808737345,2720.71768753868,3312.95577491213,0
8,371.702007493033,1704.28121892115,2075.98322641418,0
9,232.449614711845,1065.8026808911,1298.25229560295,0
10,145.308997379813,667.526255350244,812.835252730057,0
11,91.1436682400045,416.43223083761,507.575899077614,0
12,56.6097519450416,260.025840980577,316.635592925619,0
13,35.4889601686964,162.989103927478,198.478064096175,0
14,22.2808463303052,102.290058852203,124.570905182508,0
15,13.9917217415095,64.223068592689,78.2147903341985,0
16,8.78672775975,40.328650230969,49.115377990719,0
17,5.51805551536979,25.3256051263759,30.8436606417457,0
18,3.46533739281941,15.9042992756791,19.3696366684985,0
19,2.17623161424664,9.9878584048682,12.1640900191148,0
20,1.36667339879723,6.272365526992,7.63903892578923,0
21,0.858270882466789,3.93904335445114,4.79731423691793,0
22,0.538994111498468,2.47371872142867,3.01271283292714,0
23,0.338488301408429,1.55349524087163,1.89198354228006,0
24,0.212570653144201,0.97559498454497,1.18816563768917,0
25,0.13349437014235,0.612673644148112,0.746168014290462,0
26,0.0838344644419937,0.384759047111407,0.468593511553401,0
27,0.0526412040109491,0.241199665042946,0.293840869053896,0
28,0.0329430869601063,0.150961852405864,0.18390493936597,0
