"model_time","cost_drugs","cost_items","cost_total","count_deaths"
1,923905.206783502,10663240.0350315,11587145.241815,0
2,2838291.29061189,5063149.49931591,7901440.7899278,0
3,3098410.41925257,5776075.23028804,8874485.64954061,0
4,1943081.85484789,4582715.48086336,6525797.33571125,0
5,1218658.71781251,3495474.73484343,4714133.45265594,0
6,764386.789997206,2594371.526971,3358758.3169682,0
7,479496.636944075,1887371.87411426,2366868.51105834,0
8,300815.740053493,1352162.51777689,1652978.25783038,0
9,188738.047414049,957082.767521766,1145820.81493581,0
10,118430.512978221,670846.486028624,789276.999006846,0
11,74321.4866260584,466436.897701779,540758.384327838,0
12,46645.8697770611,322124.800358694,368770.670135755,0
13,29279.3525285455,221185.771743973,250465.124272518,0
14,18380.6419427127,151126.789670814,169507.431613527,0
15,11540.1728330639,102815.607301925,114355.780134989,0
16,7246.32674108196,69685.2557663415,76931.5825074235,0
17,4550.70867862924,47073.716475584,51624.4251542133,0
18,2858.23062915481,31705.3326630625,34563.5632922173,0
19,1795.45381292666,21297.9717503425,23093.4255632692,0
20,1128.00647187635,14272.9027971521,15400.9092690284,0
21,708.779275128928,9544.52587870459,10253.3051538335,0
22,445.42460393762,6370.16915434689,6815.59375828451,0
23,279.964460736751,4244.02217829633,4523.98663903308,0
24,175.994412411423,2822.93369327979,2998.92810569121,0
25,110.653184556206,1874.90186751395,1985.55505207015,0
26,69.5824684724975,1243.54954293631,1313.13201140881,0
27,43.7631385585781,823.759657624985,867.522796183563,0
28,27.5290779747279,545.044725600628,572.573803575355,1882.21175362996
