"age_group","sex","comorbidity","ckd_group","count_","prob_SA","prob_SH","prob_SR"
"[ 18 , 24 ]","F",0,0,372234,0.34404971,0.00220022999999991,0.65375006
"[ 18 , 24 ]","F",1,0,23585,0.3987704,0.00585118000000007,0.59537842
"[ 18 , 24 ]","M",0,0,302835,0.34176367,0.00148926000000005,0.65674707
"[ 18 , 24 ]","M",1,0,16859,0.40921763,0.00545702000000003,0.58532535
"[ 25 , 29 ]","F",0,0,376830,0.36571133,0.00227423000000004,0.63201444
"[ 25 , 29 ]","F",1,0,31389,0.42447991,0.00471503000000006,0.57080506
"[ 25 , 29 ]","M",0,0,303615,0.35736706,0.00168305000000002,0.64094989
"[ 25 , 29 ]","M",1,0,22836,0.42503065,0.00613066999999989,0.56883868
"[ 30 , 34 ]","F",0,0,367944,0.37754387,0.00258462999999998,0.6198715
"[ 30 , 34 ]","F",1,0,38841,0.44211014,0.00653948000000004,0.55135038
"[ 30 , 34 ]","M",0,0,294032,0.36505891,0.00199298000000003,0.63294811
"[ 30 , 34 ]","M",1,0,27672,0.4515756,0.00686615000000002,0.54155825
"[ 35 , 39 ]","F",0,0,320949,0.39086895,0.00227761999999998,0.60685343
"[ 35 , 39 ]","F",1,0,44121,0.43949593,0.00577956000000002,0.55472451
"[ 35 , 39 ]","M",0,0,245858,0.36524742,0.00207842999999996,0.63267415
"[ 35 , 39 ]","M",1,0,28898,0.44013427,0.00768218999999992,0.55218354
"[ 40 , 44 ]","F",0,0,282946,0.39982187,0.00234320999999993,0.59783492
"[ 40 , 44 ]","F",1,0,51138,0.44305604,0.00524073000000003,0.55170323
"[ 40 , 44 ]","M",0,0,211133,0.3707805,0.00286549999999997,0.626354
"[ 40 , 44 ]","M",1,0,33276,0.4333153,0.00769322999999988,0.55899147
"[ 45 , 49 ]","F",0,0,267351,0.40618887,0.00240134000000003,0.59140979
"[ 45 , 49 ]","F",1,0,68175,0.44874221,0.00599926000000006,0.54525853
