"model_time","cost_drugs","cost_items","cost_total","count_drugs"
1,3364.21103004616,95236.1401050856,98600.3511351317,0
2,10672.2095623556,45301.7263953662,55973.9359577218,0
3,6960.43742322416,30672.2744421954,37632.7118654196,0
4,4270.64956513568,18824.6856686019,23095.3352337375,0
5,2466.22702466284,11048.2989895006,13514.5260141634,0
6,1422.10772352393,6491.25521122282,7913.36293474675,0
7,843.365389289733,3823.95075901344,4667.31614830317,0
8,495.986008390635,2247.18319552091,2743.16920391154,0
9,292.373522246433,1342.92776069245,1635.30128293888,0
10,178.354416063164,824.134265107867,1002.48868117103,0
11,111.457500220919,510.517057420619,621.974557641537,0
12,69.1639939346057,317.104359848816,386.268353783422,0
13,43.1163211846666,197.016613037538,240.132934222204,0
14,26.7613869673078,122.25711624538,149.018503212688,0
15,16.607004060433,75.6837843531992,92.2907884136322,0
16,10.2674658526991,47.1205061583906,57.3879720110897,0
17,6.43862497470623,29.4474102916729,35.8860352663791,0
18,4.02295476110236,18.3495742798608,22.3725290409632,0
19,2.50199893236396,11.4395283133868,13.9415272457508,0
20,1.5630754142336,7.14375542319698,8.70683083743058,0
21,0.976717629793537,4.45317431122247,5.42989194101601,0
22,0.607904333490162,2.7778306079564,3.38573494144657,0
23,0.3799319911131,1.73183891057589,2.11177090168899,0
24,0.236620176827678,1.08293470148026,1.31955487830794,0
25,0.148550326637959,0.677937353267692,0.82648767990565,0
26,0.0929040315123061,0.423986220477393,0.516890251989699,0
27,0.0581038009013149,0.265149763766187,0.323253564667502,0
28,0.0363475285878404,0.16615916712871,0.202506695716551,0
