"cost_drugs","cost_items","cost_total","count_deaths",".n_indiv","rrr_pxlvd","rrr_rmsvr","cost_A_pxlvd_drugs","prob_AH_pxlvd","prob_AH_syntc",".strategy_names",".index",".cost",".effect"
25154.2639060652,170564.608185029,195718.872091095,37.9403125052967,1050,0.912089725275718,1.29496246320001,98.427069588345,0.009,0.063,"strategy",1,195718.872091095,37.9403125052967
25723.2117840961,175506.935735991,201230.147520087,39.4843041535345,1050,1.0709167056915,1.22884562959398,109.264926328298,0.005,0.069,"strategy",2,201230.147520087,39.4843041535345
26365.865800165,181085.524778197,207451.390578362,41.2205578383176,1050,0.91743127054284,1.08214958360747,95.710063182624,0.003,0.076,"strategy",3,207451.390578362,41.2205578383176
25345.8221824472,172229.00288254,197574.825064987,38.4608719078835,1050,0.902618603243298,0.711704845972515,100.62621489377,0.006,0.065,"strategy",4,197574.825064987,38.4608719078835
25345.8221824472,172229.00288254,197574.825064987,38.4608719078835,1050,0.831240821819265,1.42432707311753,102.74791759706,0.007,0.065,"strategy",5,197574.825064987,38.4608719078835
26723.3144228667,184186.512413609,210909.826836475,42.1826696103647,1050,0.87356410094065,0.941919836700711,119.335207212803,0.009,0.08,"strategy",6,210909.826836475,42.1826696103647
25250.2847375647,171398.95222921,196649.236966775,38.2013394245022,1050,0.960107113366148,0.726654357406334,104.206244426182,0.009,0.064,"strategy",7,196649.236966775,38.2013394245022
24960.7570382613,168882.904289247,193843.661327509,37.4137249266786,1050,1.00971619866187,0.724370170227542,106.354853870206,0.007,0.061,"strategy",8,193843.661327509,37.4137249266786
25345.8221824472,172229.00288254,197574.825064987,38.4608719078835,1050,0.936080510143082,1.13794123149222,119.218171680098,0.005,0.065,"strategy",9,197574.825064987,38.4608719078835
24368.2368168121,163731.15923315,188099.396049962,35.7967587922339,1050,0.858901554634137,0.827598163812694,110.731450634575,0.009,0.055,"strategy",10,188099.396049962,35.7967587922339
25816.3872337083,176316.014549527,202132.401783235,39.7365482879601,1050,0.905375237767203,0.70250135004194,108.789671507637,0.012,0.07,"strategy",11,202132.401783235,39.7365482879601
25154.2639060652,170564.608185029,195718.872091095,37.9403125052967,1050,0.838932982656403,0.604562274005024,112.098541043811,0.01,0.063,"strategy",12,195718.872091095,37.9403125052967
26001.3566096527,177921.91046836,203923.267078013,40.2367827063656,1050,0.931319455878322,1.06459968811167,96.9573221942526,0.007,0.072,"strategy",13,203923.267078013,40.2367827063656
24166.6242337044,161977.410400693,186144.034634397,35.2450123974954,1050,0.881245587441776,1.27972680644556,101.402441316681,0.008,0.053,"strategy",14,186144.034634397,35.2450123974954
25723.2117840961,175506.935735991,201230.147520087,39.4843041535345,1050,0.841569089240137,0.995621241017892,103.021307749002,0.01,0.069,"strategy",15,201230.147520087,39.4843041535345
24960.7570382613,168882.904289247,193843.661327509,37.4137249266786,1050,0.885184547878897,0.878723473926745,117.095220586698,0.007,0.061,"strategy",16,193843.661327509,37.4137249266786
25250.2847375647,171398.95222921,196649.236966775,38.2013394245022,1050,0.857197903879919,0.839066179207257,98.1189450277761,0.006,0.064,"strategy",17,196649.236966775,38.2013394245022
26093.1574833867,178718.790143571,204811.947626958,40.4847961545923,1050,0.826114441821902,0.655096417505482,98.1820045491494,0.005,0.073,"strategy",18,204811.947626958,40.4847961545923
25723.2117840961,175506.935735991,201230.147520087,39.4843041535345,1050,0.876568528418379,0.841517622067862,99.0693123359039,0.01,0.069,"strategy",19,201230.147520087,39.4843041535345
25345.8221824472,172229.00288254,197574.825064987,38.4608719078835,1050,0.842482703370991,0.896720911149527,101.904500318668,0.005,0.065,"strategy",20,197574.825064987,38.4608719078835
25629.5711358468,174693.72743247,200323.298568317,39.2306264151081,1050,0.847107854400391,0.868923256340089,112.84168961689,0.005,0.068,"strategy",21,200323.298568317,39.2306264151081
26455.8816474241,181866.568805879,208322.450453303,41.4630893557501,1050,0.787409446209978,1.00521287472011,115.018961907816,0.005,0.077,"strategy",22,208322.450453303,41.4630893557501
26455.8816474241,181866.568805879,208322.450453303,41.4630893557501,1050,0.887821866938297,0.691472546361035,100.079890684506,0.01,0.077,"strategy",23,208322.450453303,41.4630893557501
26093.1574833867,178718.790143571,204811.947626958,40.4847961545923,1050,0.841247000620258,0.692436563068492,113.297499074851,0.005,0.073,"strategy",24,204811.947626958,40.4847961545923
27246.6998877469,188724.627703236,215971.327590983,43.5867149801287,1050,0.89643342692969,0.617977746458428,90.2960685041501,0.007,0.086,"strategy",25,215971.327590983,43.5867149801287
25535.4617256603,173876.357536743,199411.819262403,38.9755031714506,1050,0.793578593684788,0.815374669912098,105.552348715174,0.008,0.067,"strategy",26,199411.819262403,38.9755031714506
23444.1586942785,155689.658550875,179133.817245153,33.2614569279343,1050,0.851008579490485,0.907036302181873,107.978952019987,0.012,0.046,"strategy",27,179133.817245153,33.2614569279343
24468.2631445503,164601.09850399,189069.36164854,36.0702058376121,1050,0.911010190057056,0.619255578699458,99.4592324866608,0.013,0.056,"strategy",28,189069.36164854,36.0702058376121
24765.271094943,167183.616326123,191948.887421066,36.8810068952426,1050,1.02196727013157,0.705329794702778,99.7580183063969,0.009,0.059,"strategy",29,191948.887421066,36.8810068952426
24666.7762685147,166327.290822921,190994.067091435,36.612316370501,1050,0.813996596389181,0.766279505567521,103.234354245934,0.005,0.058,"strategy",30,190994.067091435,36.612316370501
24468.2631445503,164601.09850399,189069.36164854,36.0702058376121,1050,0.874181624710952,0.90527722392254,110.616204660676,0.002,0.056,"strategy",31,189069.36164854,36.0702058376121
25816.3872337083,176316.014549527,202132.401783235,39.7365482879601,1050,0.863289202527446,0.673041703800539,99.7182140454697,0.006,0.07,"strategy",32,202132.401783235,39.7365482879601
26093.1574833867,178718.790143571,204811.947626958,40.4847961545923,1050,0.84992593724206,0.702242354986334,121.265126837369,0.011,0.073,"strategy",33,204811.947626958,40.4847961545923
26001.3566096527,177921.91046836,203923.267078013,40.2367827063656,1050,0.930599459537741,0.748593918746697,133.357084130538,0.007,0.072,"strategy",34,203923.267078013,40.2367827063656
25154.2639060652,170564.608185029,195718.872091095,37.9403125052967,1050,0.712832631649546,0.803321775262604,89.6545394289529,0.01,0.063,"strategy",35,195718.872091095,37.9403125052967
26899.4561004013,185714.106866049,212613.562966451,42.6558177771657,1050,0.865891263954339,0.750370557197102,95.9595848075627,0.003,0.082,"strategy",36,212613.562966451,42.6558177771657
25909.1010117777,177120.995645018,203030.096656796,39.987370590597,1050,0.882704346957138,0.883714817212319,100.991975767023,0.008,0.071,"strategy",37,203030.096656796,39.987370590597
25345.8221824472,172229.00288254,197574.825064987,38.4608719078835,1050,0.817462979674215,0.826093586530928,109.684604818258,0.005,0.065,"strategy",38,197574.825064987,38.4608719078835
25535.4617256603,173876.357536743,199411.819262403,38.9755031714506,1050,0.830629881683714,0.84180790905292,89.5490580872996,0.004,0.067,"strategy",39,199411.819262403,38.9755031714506
