"cost_drugs","cost_items","cost_total","count_deaths",".n_indiv","rrr_pxlvd","rrr_rmsvr","cost_A_pxlvd_drugs","prob_AH_pxlvd","prob_AH_syntc",".strategy_names",".index",".cost",".effect"
19642.4490300233,135714.73578201,155357.184812034,26.898408351821,252,0.933566139337198,0.82788138860028,112.771692244386,0.009,0.073,"strategy",1,155357.184812034,26.898408351821
19167.4001148996,131850.560086748,151017.960201647,25.9651606657124,252,0.822953936720017,0.867744567590266,119.674581749898,0.004,0.052,"strategy",2,151017.960201647,25.9651606657124
19489.5318800822,134472.11313137,153961.645011452,26.6004292150306,252,0.884810076678877,0.785930537795089,110.914530607622,0.011,0.066,"strategy",3,153961.645011452,26.6004292150306
19238.3410318725,132428.338475149,151666.679507021,26.1059419802643,252,0.815990802017546,0.758286658330486,112.489637824572,0.004,0.055,"strategy",4,151666.679507021,26.1059419802643
19422.3783442996,133926.041866436,153348.420210735,26.4688428608301,252,0.810115161224313,0.948937710487643,95.0845067600911,0.007,0.063,"strategy",5,153348.420210735,26.4688428608301
19533.7550932811,134831.597674475,154365.352767756,26.6868409440738,252,0.951613557568747,0.933136979279453,101.009142057558,0.008,0.068,"strategy",6,154365.352767756,26.6868409440738
19285.0422303346,132808.557232122,152093.599462457,26.1983483293455,252,0.849752260480145,0.668677948588274,102.87129654619,0.008,0.057,"strategy",7,152093.599462457,26.1983483293455
19444.8730990175,134108.987501111,153553.860600129,26.5129705722379,252,0.781912430864592,0.963808848480326,105.28779163154,0.007,0.064,"strategy",8,153553.860600129,26.5129705722379
19399.7722498789,133742.164922458,153141.937172337,26.4244464105574,252,0.701639190967829,0.574393415583692,104.886436390253,0.01,0.062,"strategy",9,153141.937172337,26.4244464105574
19811.017530334,137083.173940265,156894.191470599,27.2242166353591,252,0.94401142337432,0.7212693251769,100.629746105031,0.006,0.081,"strategy",10,156894.191470599,27.2242166353591
19489.5318800822,134472.11313137,153961.645011452,26.6004292150306,252,0.785162609832521,0.930365920679721,111.855909913251,0.007,0.066,"strategy",11,153961.645011452,26.6004292150306
19489.5318800822,134472.11313137,153961.645011452,26.6004292150306,252,0.857085795501399,0.61324303036724,115.544517717944,0.008,0.066,"strategy",12,153961.645011452,26.6004292150306
19511.6975314303,134652.307091807,154164.004623238,26.6437647975136,252,0.988822624682736,0.744107056169704,120.168221435247,0.005,0.067,"strategy",13,154164.004623238,26.6437647975136
19399.7722498789,133742.164922458,153141.937172337,26.4244464105574,252,0.826313346407017,0.71500958842333,105.894074669397,0.01,0.062,"strategy",14,153141.937172337,26.4244464105574
19377.0539827333,133557.349505804,152934.403488537,26.3797788281139,252,0.87850162342431,0.710839369557496,110.974223074384,0.007,0.061,"strategy",15,152934.403488537,26.3797788281139
19444.8730990175,134108.987501111,153553.860600129,26.5129705722379,252,0.929618364105319,0.751622738213716,107.139369849145,0.011,0.064,"strategy",16,153553.860600129,26.5129705722379
