"S","R","D","A","H","I"
0,65.407555,0,27.335984,7.256461,0
0,68.8667995,0.795517226765055,21.8687872,7.74324997323495,0.7256461
0,71.9005678273235,2.39819660297231,17.49502976,6.7787993223807,1.42740648732349
0,74.4706913842939,4.10940661152245,13.996023808,5.46133242535442,1.96254577082922
0,76.6126815847123,5.59812144003527,11.1968190464,4.27995349257072,2.31242443628174
0,78.3916012822375,6.87093127072423,8.95745523712,3.27083486800761,2.50917734191063
0,79.8653480269413,7.88184735240319,7.165964189696,2.50149733643913,2.58534309452033
0,81.0906284890069,8.66929198826536,5.7327713517568,1.93034965225874,2.57695851871221
0,82.1146364412797,9.29836772005746,4.58621708140544,1.48848112519057,2.51229763206686
0,82.9733360251459,9.81470308811411,3.66897366512435,1.13307124023635,2.40991598137924
0,83.6945321138199,10.219014828452,2.93517893209948,0.869042618363622,2.28223150726495
0,84.3031774195927,10.5374751697021,2.34814314567959,0.670291646650766,2.14091261837481
0,84.8191121606633,10.7923552923321,1.87851451654367,0.516167509258511,1.99385052120241
0,85.2579654153637,10.9909224605397,1.50281161323494,0.402218290853589,1.84608222000802
0,85.6330766277734,11.1491394453303,1.20224929058795,0.313838809215828,1.70169582709258
0,85.954855020463,11.2777833343259,0.961799432470359,0.24265208743578,1.5629101253049
0,86.2315911849841,11.3801111998084,0.769439545976287,0.187973747713222,1.43088432151799
0,86.4704209465049,11.4601008012928,0.61555163678103,0.147333351283784,1.30659326413751
0,86.6773687717251,11.5227964500093,0.492441309424824,0.116726195988619,1.19066727285214
0,86.8573522495517,11.5733435528659,0.393953047539859,0.0920779848768004,1.08327316516579
0,87.0142826693099,11.6138886651787,0.315162438031887,0.0725125803426221,0.984153647136889
0,87.151465535861,11.6470775446121,0.25212995042551,0.0563374286438722,0.892989540457463
0,87.2716112278137,11.6732365819093,0.201703960340408,0.0441239006604678,0.809324329276104
0,87.3771264468414,11.6937245379779,0.161363168272326,0.0349815604938018,0.73280428641454
0,87.4700413483595,11.7100813706143,0.129090534617861,0.0277647325858842,0.663022013822466
0,87.5520290764621,11.723241915017,0.103272427694289,0.0219602951277725,0.599496285698808
0,87.6245019773142,11.7337202667919,0.0826179421554311,0.0174171270967737,0.541742686641704
0,87.6886797529036,11.74208509003,0.0660943537243449,0.0138306726548983,0.489310130687211
