"exec","age_group","sex","comorbidity","covid","binary_patient_type","death","count","obesity","diabetes","hyperten","ckd","cardio","copd","asthma","immuno","hiv"
8,"[ 18 , 24 ]","F",1,0,"A",9,14247,6162,942,1106,393,620,208,5274,494,143
8,"[ 18 , 24 ]","F",0,1,"A",12,127784,0,0,0,0,0,0,0,0,0
8,"[ 18 , 24 ]","F",1,1,"A",6,9674,4943,590,678,191,312,178,3290,284,83
8,"[ 18 , 24 ]","F",0,0,"H",0,2476,0,0,0,0,0,0,0,0,0
8,"[ 18 , 24 ]","F",1,0,"H",0,385,119,112,76,70,48,12,72,113,17
8,"[ 18 , 24 ]","F",0,1,"H",0,868,0,0,0,0,0,0,0,0,0
8,"[ 18 , 24 ]","F",1,1,"H",0,162,52,38,21,20,16,1,34,35,4
9,"[ 18 , 24 ]","F",0,0,"A",19,241038,0,0,0,0,0,0,0,0,0
9,"[ 18 , 24 ]","F",1,0,"A",3,14147,6065,971,1112,382,635,195,5267,515,134
9,"[ 18 , 24 ]","F",0,1,"A",9,127740,0,0,0,0,0,0,0,0,0
9,"[ 18 , 24 ]","F",1,1,"A",3,9692,4901,607,626,192,329,143,3404,262,82
9,"[ 18 , 24 ]","F",0,0,"H",0,2456,0,0,0,0,0,0,0,0,0
9,"[ 18 , 24 ]","F",1,0,"H",0,406,110,111,93,77,55,11,93,100,18
9,"[ 18 , 24 ]","F",0,1,"H",0,853,0,0,0,0,0,0,0,0,0
9,"[ 18 , 24 ]","F",1,1,"H",0,160,60,41,34,30,21,5,34,38,7
10,"[ 18 , 24 ]","F",0,0,"A",17,240703,0,0,0,0,0,0,0,0,0
10,"[ 18 , 24 ]","F",1,0,"A",8,14243,6179,1060,1093,370,575,205,5267,437,121
10,"[ 18 , 24 ]","F",0,1,"A",11,127958,0,0,0,0,0,0,0,0,0
10,"[ 18 , 24 ]","F",1,1,"A",4,9613,4861,583,625,189,285,143,3416,263,75
10,"[ 18 , 24 ]","F",0,0,"H",0,2538,0,0,0,0,0,0,0,0,0
10,"[ 18 , 24 ]","F",1,0,"H",0,391,134,111,81,71,51,8,94,87,16
10,"[ 18 , 24 ]","F",0,1,"H",0,898,0,0,0,0,0,0,0,0,0
10,"[ 18 , 24 ]","F",1,1,"H",0,148,64,33,31,25,15,5,42,23,6
11,"[ 18 , 24 ]","F",0,0,"A",21,241380,0,0,0,0,0,0,0,0,0
11,"[ 18 , 24 ]","F",1,0,"A",9,14011,6048,928,1085,417,599,195,5166,486,136
11,"[ 18 , 24 ]","F",0,1,"A",13,127645,0,0,0,0,0,0,0,0,0
11,"[ 18 , 24 ]","F",1,1,"A",4,9480,4869,562,614,216,306,124,3260,265,75
11,"[ 18 , 24 ]","F",0,0,"H",0,2551,0,0,0,0,0,0,0,0,0
11,"[ 18 , 24 ]","F",1,0,"H",0,396,124,114,93,67,64,7,69,91,13
11,"[ 18 , 24 ]","F",0,1,"H",0,867,0,0,0,0,0,0,0,0,0
11,"[ 18 , 24 ]","F",1,1,"H",0,162,60,44,35,32,15,6,27,45,10
12,"[ 18 , 24 ]","F",0,0,"A",16,241416,0,0,0,0,0,0,0,0,0
12,"[ 18 , 24 ]","F",1,0,"A",6,14230,6077,975,1012,380,594,218,5453,472,107
12,"[ 18 , 24 ]","F",0,1,"A",23,127350,0,0,0,0,0,0,0,0,0
12,"[ 18 , 24 ]","F",1,1,"A",3,9522,4850,608,625,168,322,139,3381,237,64
12,"[ 18 , 24 ]","F",0,0,"H",0,2538,0,0,0,0,0,0,0,0,0
12,"[ 18 , 24 ]","F",1,0,"H",0,389,116,95,88,63,51,7,73,111,13
12,"[ 18 , 24 ]","F",0,1,"H",0,891,0,0,0,0,0,0,0,0,0
12,"[ 18 , 24 ]","F",1,1,"H",0,156,56,47,35,41,20,5,21,41,11
13,"[ 18 , 24 ]","F",0,0,"A",17,241526,0,0,0,0,0,0,0,0,0
13,"[ 18 , 24 ]","F",1,0,"A",7,14078,6011,924,1069,378,606,195,5308,519,152
13,"[ 18 , 24 ]","F",0,1,"A",15,127397,0,0,0,0,0,0,0,0,0
