"S","R","D","A","H","I"
7.27595761418343e-12,22609.00013104,0,18059.0001294,415.999739559996,0
8.07793566946316e-28,28481.8499992636,0.565041321351929,12316.2380882508,200.274924424228,85.0719467400192
8.96831017167883e-44,32463.5418770351,4.84276737325318,8399.67437618705,125.132596570149,90.8083828344058
9.95682444457783e-60,35183.6275490382,9.28160429909619,5728.57792455956,83.7095937636224,78.8033283395572
1.10542957505209e-75,37043.8922690212,13.122563962624,3906.89014454962,56.79766013486,63.2973623316413
1.22727336632443e-91,38315.9346935833,16.2216905305049,2664.49907858284,38.6371614793819,48.7073758239207
1.36254714880261e-107,39185.4516635753,18.6215082420815,1817.1883715935,26.2946348337949,36.4438217553511
1.51273121673801e-123,39779.618731809,20.4290427537276,1239.32246942677,17.8964236383166,26.7333323721468
1.67946902689177e-139,40185.5116699103,21.7632307157888,845.217924149054,12.1816238207193,19.3255514041138
1.86458518280005e-155,40462.7195521377,22.7298940259106,576.438624269655,8.29601437255912,13.8159151941478
2.07010540131952e-171,40652.002783769,23.4226512762364,393.131141751905,5.65076195985574,9.79266124295893
2.29827867994584e-187,40781.2262252655,23.9168063927616,268.115438674799,3.84744935774063,6.89408030916443
2.55160190748098e-203,40869.4321375452,24.2667739885163,182.854729176213,2.61962483522076,4.82673445482832
2.83284718736285e-219,40929.6319477294,24.5135662516244,124.706925298177,1.78338105148655,3.36417966933204
3.14509217265485e-235,40970.7128725434,24.6865779916643,85.0501230533568,1.21431570027247,2.33611071125757
3.49175374464977e-251,40998.7442200153,24.8074435552804,58.0041839223893,0.826864069493069,1.61728843750266
3.87662540363129e-267,41017.869644039,24.891636902517,39.5588534350695,0.563040896808952,1.11682472658789
4.30391878095825e-283,41030.9177207446,24.9500074822041,26.9791380427174,0.38353257728087,0.769601153177934
4.77830972673648e-299,41039.8191374655,24.9903810998797,18.3997721451333,0.261290601627526,0.529418687816208
5.30498947741318e-315,41045.8914035421,25.0183398951293,12.5486446029809,0.177938680695939,0.363673279093127
0,41050.0334820115,25.0375870944402,8.55817561923297,0.12125427302734,0.249501001750892
0,41052.8588596444,25.0508357105289,5.83667577231688,0.0826247869373941,0.171004085860114
0,41054.7860330049,25.0599512720859,3.98061287672011,0.0562976830293831,0.117105163242724
0,41056.1005083779,25.0662155578045,2.71477798192312,0.0383615805283806,0.080136501839745
0,41056.9970587011,25.070513958299,1.85147858367157,0.0261438236033814,0.0548049332961444
0,41057.608549811,25.0734606599513,1.26270839406401,0.017819032180418,0.0374621028384321
0,41058.0256109524,25.0754798890939,0.861167124751653,0.012145249395234,0.0255967843442167
0,41058.3100594359,25.0768613060158,0.587315979080627,0.00827985988030223,0.0174834191270363
