"S","R","D","A","H","I"
0,3507450,0,2163294,41141,0
0,4204756,164,1474920,23632,8413
0,4680494,900,1005615,15356,9521
0,5005800,1564,685653,10302,8566
0,5228274,2090,467505,6972,7045
0,5380382,2494,318769,4729,5511
0,5484346,2798,217357,3212,4173
0,5555381,3023,148210,2182,3088
0,5603904,3187,101062,1484,2248
0,5637041,3305,68913,1010,1616
0,5659667,3389,46992,687,1151
0,5675112,3448,32044,467,813
0,5685654,3490,21852,318,571
0,5692849,3519,14901,217,399
0,5697759,3540,10161,147,278
0,5701109,3554,6929,100,193
0,5703394,3564,4725,68,133
0,5704954,3570,3223,47,92
0,5706017,3575,2198,32,63
0,5706743,3578,1499,22,44
0,5707238,3580,1022,15,30
0,5707576,3582,697,10,21
0,5707806,3583,475,7,14
0,5707963,3584,324,5,10
0,5708070,3584,221,3,7
0,5708143,3584,151,2,5
0,5708193,3585,103,1,3
0,5708227,3585,70,1,2
