"model_time","cost_drugs","cost_items","cost_total","count_deaths"
1,2402.68867978751,134293.292025878,136695.980705665,0
2,19261.7855236756,62622.6858507229,81884.4713743985,3.04818734682635
3,7056.21626596468,24154.6600298102,31210.8762957749,26.2571145948401
4,2922.58487443822,10683.3700683814,13605.9549428196,34.8127099819895
5,1398.79319595217,5402.11803346,6800.91122941218,38.3971397161563
6,749.459375949031,2992.99030667939,3742.44968262842,40.1550926461926
7,428.81841470208,1743.84866401551,2172.66707871759,41.1249342516562
8,253.991431837565,1041.61171366886,1295.60314550642,41.6982441485571
9,152.834160986481,629.746568830664,782.580729817145,42.0478755470048
10,92.7506571050637,381.743616953741,474.494274058805,42.2670980033286
11,56.1681925614614,232.024319697922,288.192512259384,42.4034538842032
12,34.2376100852344,141.360714339475,175.598324424709,42.4888552533249
13,20.8470426932902,86.1824516128335,107.029494306124,42.5423477497549
14,12.7228660632843,52.7343142542862,65.4571803175705,42.5756088546845
15,7.80125670699382,32.3556761813413,40.1569328883351,42.5963760721111
16,4.78783229797799,19.8320298985032,24.6198621964812,42.609457128172
17,2.93140488037817,12.180121488504,15.1115263688822,42.6176115174329
18,1.80493474355461,7.50894841265523,9.31388315620983,42.622687172847
19,1.11392015035024,4.64416567992001,5.75808583027025,42.6258438938552
20,0.690110135802192,2.87614297716952,3.56625311297172,42.6278191071938
21,0.427250425896263,1.78318857741519,2.21043900331146,42.6290521888331
22,0.26518467851658,1.10642746750662,1.3716121460232,42.6298240525691
23,0.164494270689901,0.687054394754162,0.851548665444063,42.6303062495018
24,0.102233749464378,0.427193068327845,0.529426817792223,42.6306074494532
25,0.0635868798613441,0.265765745326439,0.329352625187783,42.630795821984
26,0.0395630345855763,0.165284713840391,0.204847748425967,42.6309138867036
27,0.0245968055814491,0.102899732010019,0.127496537591469,42.630987559613
28,0.0153301500094582,0.0641462433940377,0.0794763934034959,42.6310335702837
