"model_time","cost_drugs","cost_items","cost_total","count_deaths"
1,1813058.05477479,2157482.436579,3970540.49135379,0
2,1270785.47232826,177769.619605442,1448555.0919337,0
3,864525.563817589,137192.021992046,1001717.58580963,0
4,590054.579033219,106163.498145254,696218.077178472,0
5,402916.186762897,81010.972284862,483927.159047759,0
6,26608.9739533729,61015.6289771056,87624.6029304785,0
7,18188.8745418921,45464.1889122219,63653.063454114,0
8,12433.0812338369,33578.1729979279,46011.2542317649,0
9,8498.48017853398,24617.2663519912,33115.7465305251,0
10,5808.88421468938,17935.3457518612,23744.2299665505,0
11,3970.39111764755,12997.3378910719,16967.7290087195,0
12,2713.70877159638,9375.28292644203,12088.9916980384,0
13,1854.73912415559,6735.22941785798,8589.96854201357,0
14,1267.62950562064,4821.32966441556,6088.9591700362,0
15,866.347277345917,3440.34135971344,4306.68863705936,0
16,592.082343916423,2447.95294844506,3040.03529236148,0
17,404.63446389296,1737.38510080687,2142.01956469983,0
18,276.525082928804,1230.2335543658,1506.75863729461,0
19,188.971941386083,869.300492645165,1058.27243403125,0
20,129.137232667633,613.08910018321,742.226332850844,0
21,88.2464415960181,431.637325655148,519.883767251166,0
22,60.3024167223732,303.40177635905,363.704193081423,0
23,41.2063577768308,212.949117664789,254.15547544162,0
24,28.1569712947437,149.259150567413,177.416121862156,0
25,19.2397773164762,104.485750154746,123.725527471223,0
26,13.1463965820058,73.0572349162728,86.2036314982786,0
27,8.98268537930972,51.0263675068393,60.0090528861491,0
28,6.13760027171418,35.6027153583722,41.7403156300864,61.0249324405625
