"model_time","cost_drugs","cost_items","cost_total","count_deaths"
1,2673320.9089765,3454500.79438872,6127821.70336522,0
2,1915275.31880135,364744.013564823,2280019.33236617,0
3,1279036.42133562,246418.280668992,1525454.70200461,0
4,870210.474403806,183504.485587206,1053714.95999101,0
5,593901.718619025,137371.188107758,731272.906726783,0
6,39438.4182220571,102060.303324301,141498.721546358,0
7,26953.8801328391,75219.3471576565,102173.227290496,0
8,18423.5512310074,55050.6526022666,73474.203833274,0
9,12592.8569920278,40049.3483946081,52642.2053866359,0
10,8607.27885010927,28986.154053538,37593.4329036473,0
11,5882.97551043855,20885.3347288363,26768.3102392748,0
12,4020.84951890812,14989.530776753,19010.3802956611,0
13,2748.07411056565,10720.8448440915,13468.9189546571,0
14,1878.14516565491,7644.17345541482,9522.31862106973,0
15,1283.57195575186,5435.41905300975,6718.9910087616,0
16,877.206569837361,3855.28283707438,4732.48940691174,0
17,599.479537491703,2728.36890023076,3327.84843772247,0
18,409.673541590621,1926.91554406786,2336.58908565848,0
19,279.957921478948,1358.35310531695,1638.3110267959,0
20,191.31063643121,955.919211953275,1147.22984838449,0
21,130.730583279912,671.65809470276,802.388677982672,0
22,89.3320327562715,471.245348326267,560.577381082538,0
23,61.0420868724141,330.190847012805,391.232933885219,0
24,41.7103529737377,231.070483157486,272.780836131224,0
25,28.5003954834609,161.518930043394,190.019325526855,0
26,19.473796368837,112.781058412966,132.254854781803,0
27,13.3058695521087,78.6708183919725,91.9766879440813,0
28,9.09136251026343,54.8256821818976,63.917044692161,107.34475506598
