"model_time","cost_drugs","cost_items","cost_total","count_deaths"
1,132358.721493963,433908.842508858,566267.564002821,0
2,134681.664546418,111167.928700726,245849.593247144,0
3,66001.6509379726,49676.4384740556,115678.089412028,0
4,42678.4903663023,31782.5842840963,74461.0746503986,0
5,28922.7922103442,21690.0282302378,50612.8204405819,0
6,1954.76619008614,14932.6496685801,16887.4158586662,0
7,1333.38844610945,10289.7919121264,11623.1803582359,0
8,910.62625064563,7089.49257020579,8000.11882085142,0
9,622.000471625931,4883.22268992414,5505.22316155007,0
10,424.861214491978,3362.6190001244,3787.48021461637,0
11,290.202470051814,2314.90048048154,2605.10295053335,0
12,198.221949688316,1593.21720460107,1791.43915428938,0
13,135.393850482213,1096.25101624541,1231.64486672762,0
14,92.4789215441717,754.121882137147,846.600803681318,0
15,63.1659852609774,518.648990300541,581.814975561518,0
16,43.1440165350861,356.623324698364,399.767341233451,0
17,29.4682762226156,245.16232840269,274.630604625306,0
18,20.1273141939782,168.50349603899,188.630810232968,0
19,13.7471898499232,115.791990610583,129.539180460506,0
20,9.38942759765823,79.5546628143157,88.9440904119739,0
21,6.41300322312155,54.6478677551442,61.0608709782658,0
22,4.38006970264673,37.5322050413214,41.9122747439682,0
23,2.9915610870606,25.7727585105889,28.7643195976495,0
24,2.0432056698957,17.6948246739724,19.7380303438681,0
25,1.39548031526591,12.1468205748946,13.5423008901605,0
26,0.953087616458198,8.33704823801681,9.29013585447501,0
27,0.650937785770975,5.72133805913842,6.3722758449094,0
28,0.444573672880928,3.92573211454954,4.37030578743047,39.8506049925093
