"model_time","cost_drugs","cost_items","cost_total","count_deaths"
1,4947061.71280755,5952083.03618502,10899144.7489926,0
2,3477532.77271229,521409.920744629,3998942.69345692,0
3,2363139.80451367,398517.162749648,2761656.96726332,0
4,1612161.80095043,307133.082116796,1919294.88306723,0
5,1100703.12849381,233931.541912483,1334634.6704063,0
6,73546.0691775453,175953.277396411,249499.346573956,0
7,50249.1754471318,130941.665128177,181190.840575309,0
8,34332.0335271286,96589.4955371164,130921.529064245,0
9,23456.3706241223,70727.855002301,94184.2256264233,0
10,16025.8242406325,51474.1865255816,67500.010766214,0
11,10950.1950520635,37265.3009160437,48215.4959681072,0
12,7482.16695070443,26853.0134272333,34335.1803779378,0
13,5111.88697756962,19271.3635631758,24383.2505407454,0
14,3492.39701501868,13780.6783842324,17273.0753992511,0
15,2385.84199786182,9823.28633671632,12209.1283345781,0
16,1629.92968129646,6982.61167440728,8612.54135570373,0
17,1113.49809608086,4950.77649723046,6064.27459331132,0
18,760.680955529863,3502.27031741595,4262.95127294581,0
19,519.688830839083,2472.51296592497,2992.20179676406,0
20,355.048045812083,1742.15734365818,2097.20538947026,0
21,242.540114608827,1225.47683945015,1468.01695405898,0
22,165.705450410079,860.690239408405,1026.39568981848,0
23,113.208246075754,603.603306826211,716.811552901965,0
24,77.3398993548725,422.738492688748,500.078392043621,0
25,52.8357426743166,295.704407241187,348.540149915503,0
26,36.0960955612831,206.608886098349,242.704981659632,0
27,24.6601124180088,144.203724494107,168.863836912116,0
28,16.847100788784,100.549313348541,117.396414137325,115.261991753099
