"model_time","cost_drugs","cost_items","cost_total","count_drugs"
1,5342.04963055933,219382.347419922,224724.397050481,0
2,28801.9364408311,96516.0136196175,125317.950060449,0
3,11355.202039491,41696.8013894563,53052.0034289473,0
4,5487.39828088538,21607.8221835383,27095.2204644237,0
5,3054.87324672958,12428.6546315232,15483.5278782528,0
6,1810.77119675427,7451.33713549972,9262.108332254,0
7,1096.4238925417,4528.83517431979,5625.25906686149,0
8,668.482454831274,2765.44853778554,3433.93099261681,0
9,408.685167692011,1692.69259442278,2101.37776211479,0
10,250.412214923374,1040.43932864394,1290.85154356731,0
11,154.326193811056,642.009409616487,796.335603427543,0
12,95.305586922968,395.8031606457,491.108747568668,0
13,58.664017324875,243.700882566784,302.364899891659,0
14,36.1225065176506,150.000008716996,186.122515234646,0
15,22.2246546086413,92.4049647942492,114.62961940289,0
16,13.7041930094269,57.0015121776488,70.7057051870757,0
17,8.45550159952611,35.179383848927,43.6348854484531,0
18,5.21963839044766,21.7585276469244,26.978166037372,0
19,3.23346093872729,13.4876694211038,16.7211303598311,0
20,2.00500569662708,8.34805461198092,10.353060308608,0
21,1.23919385639903,5.17702015239931,6.41621400879833,0
22,0.770606527390772,3.21805714700946,3.98866367440023,0
23,0.478802928505903,1.99893966573414,2.47774259424004,0
24,0.297332576847583,1.24183223409294,1.53916481094053,0
25,0.184776752449389,0.772307335882955,0.957084088332344,0
26,0.114982836172662,0.480781375317782,0.595764211490444,0
27,0.0716003235937164,0.299400031677842,0.371000355271558,0
28,0.0445911166895822,0.186648879272524,0.231239995962106,0
